# Problem Mapping:
# P00: decision-fatigue - Overwhelmed by architectural decisions when you know the least, locked into choices with high cost of change
# P01: state-fragility - Lost work from crashes, can't debug/replay what happened, no pause/resume for long workflows
# P02: premature-commitment - Must make consequential architectural decisions before having enough information to make them well
# P03: reproducibility-crisis - Notebooks hide execution order, data lineage is invisible, and computational methods are impossible to reconstruct
# P04: linkml-multifile-limitation - LinkML doesn't work well for multi-file outputs
# P05: uv-monorepo-entanglement - uv monorepo is already tangled
#
# Interaction strength values: 5 (strong), 3 (medium), 1 (weak), --- (none/unknown)
#
P00,P01,P02,P03,P04,P05,FEATURE
 ~ , ~ , ~ , ~ , ~ , ~ ,mermaid-def-rendering
 ~ , ~ , ~ , ~ , ~ , ~ ,minio-storage
 ~ , ~ , ~ , ~ , ~ , ~ ,tailscale-networking
 ~ , ~ , ~ , ~ , ~ , ~ ,dizzy-strategizer
 ~ , ~ , ~ , ~ , ~ , ~ ,diataxis-documentation
 ~ , ~ , ~ , ~ , ~ , ~ ,nvpsm-framework
 ~ , ~ , ~ , ~ , ~ , ~ ,facial-recognition
 ~ , ~ , ~ , ~ , ~ , ~ ,tag-based-albums
 ~ , ~ , ~ , ~ , ~ , ~ ,notification-system
 ~ , ~ , ~ , ~ , ~ , ~ ,calendar-albums
 ~ , ~ , ~ , ~ , ~ , ~ ,remote-upload
 ~ , ~ , ~ , ~ , ~ , ~ ,remote-viewer
 ~ , ~ , ~ , ~ , ~ , ~ ,content-addressable-storage
 ~ , ~ , ~ , ~ , ~ , ~ ,file-provenance-manifest
 ~ , ~ , ~ , ~ , 5 , ~ ,linkml-multifile-generation
